symptoms,condition,domain
"I've noticed I'm getting a lot of hair on my chin and my periods are super irregular lately.",pcos,women
"Dealing with stubborn acne as an adult and my cycles are all over the place.",pcos,women
"My hair is thinning on top but I'm seeing more growth on my face and chest.",pcos,women
"Haven't had a period in three months and I've been gaining weight around my middle for no reason.",pcos,women
"Polycystic ovaries were mentioned at my last checkup and I have very oily skin.",pcos,women
"Cycles are longer than 35 days and I'm struggling with facial hair growth.",pcos,women
"Period is very infrequent and I'm noticing dark patches of skin around my neck.",pcos,women
"It feels like I only get my period four or five times a year now.",pcos,women
"Weight gain that won't budge and very heavy but rare menstrual cycles.",pcos,women
"Excessive hair growth on my stomach and back along with skipped periods.",pcos,women
"My skin is breaking out like a teenager and my periods have basically stopped.",pcos,women
"Thinning hair on my scalp and I'm exhausted all the time with irregular cycles.",pcos,women
"The hair growth on my upper lip is getting worse and my periods are unpredictable.",pcos,women
"Been trying to conceive but my ovulation seems non-existent and my periods are random.",pcos,women
"Very oily face and scalp with long gaps between my monthly cycles.",pcos,women
"I've gained 15 pounds quickly and my periods are suddenly very light and rare.",pcos,women
"Dealing with hirsutism and my cycles are getting longer and longer.",pcos,women
"Missing periods for months at a time and noticing more body hair than usual.",pcos,women
"Acne along my jawline that won't go away and irregular menstruation.",pcos,women
"My cycle length varies every single month and I've noticed male-pattern hair thinning.",pcos,women
"Periods are missing or very late and I have visible hair growth on my chin.",pcos,women
"Difficulty losing weight and my menstrual cycle is extremely inconsistent.",pcos,women
"Patchy skin and infrequent periods for the last six months.",pcos,women
"My periods are nearly two months apart and I have breakouts on my back.",pcos,women
"Hormonal acne and very long cycles are making me feel frustrated.",pcos,women
"My period didn't come this month and the last one was two weeks late.",menstrual_irregularity,women
"Cycles used to be 28 days but now they are ranging from 21 to 45 days.",menstrual_irregularity,women
"I'm spotting between my periods and the timing is never the same.",menstrual_irregularity,women
"My flow started twice this month and I'm confused about my cycle.",menstrual_irregularity,women
"Having very short cycles lately where I bleed every three weeks.",menstrual_irregularity,women
"My period lasted ten days this time but only two days last month.",menstrual_irregularity,women
"I missed my period entirely but I'm definitely not pregnant.",menstrual_irregularity,women
"The gap between my periods is getting shorter and shorter.",menstrual_irregularity,women
"Random bleeding throughout the month that isn't a full period.",menstrual_irregularity,women
"I can't track my cycle anymore because the dates change every time.",menstrual_irregularity,women
"Very light spotting instead of a regular period this month.",menstrual_irregularity,women
"My periods are becoming very infrequent and hard to predict.",menstrual_irregularity,women
"Experienced a very heavy flow after missing my period for two months.",menstrual_irregularity,women
"My menstrual start date fluctuates by more than a week every time.",menstrual_irregularity,women
"I had a period two weeks ago and it seems to be starting again.",menstrual_irregularity,women
"Chronic changes in my cycle length over the last half year.",menstrual_irregularity,women
"Frequent breakthroughs bleeding even though I'm not on medication.",menstrual_irregularity,women
"My period is 12 days late and this happens almost every other month.",menstrual_irregularity,women
"Cycles are consistently lasting over 40 days now.",menstrual_irregularity,women
"The duration of my bleeding varies significantly from month to month.",menstrual_irregularity,women
"Short periods followed by very long cycles the next time.",menstrual_irregularity,women
"My monthly cycle has become completely unpredictable lately.",menstrual_irregularity,women
"Bleeding between cycles that is light but noticeable.",menstrual_irregularity,women
"I missed two periods in a row and then had a very heavy one.",menstrual_irregularity,women
"The timing of my period is never consistent anymore.",menstrual_irregularity,women
"I'm experiencing night sweats and my moods are swinging wildly.",hormonal_imbalance,women
"Feeling very irritable lately and noticing changes in my skin and hair.",hormonal_imbalance,women
"Having trouble sleeping and feeling hot flashes during the day.",hormonal_imbalance,women
"My energy levels are low and I'm gaining weight in some places.",hormonal_imbalance,women
"Significant mood shifts right before my period that feel extreme.",hormonal_imbalance,women
"I feel foggy headed and my skin has become very dry lately.",hormonal_imbalance,women
"Sudden bouts of anxiety and heart palpitations that come and go.",hormonal_imbalance,women
"Feeling a loss of libido and general fatigue regardless of sleep.",hormonal_imbalance,women
"My hair is falling out more than usual and I feel very cold.",hormonal_imbalance,women
"Unexplained weight changes and persistent adult acne.",hormonal_imbalance,women
"Bouts of extreme fatigue followed by periods of restlessness.",hormonal_imbalance,women
"I'm getting hot flashes and I'm only in my late 30s.",hormonal_imbalance,women
"Memory feels fuzzy and I'm struggling to concentrate on tasks.",hormonal_imbalance,women
"Feeling very bloated and my breasts are tender for weeks.",hormonal_imbalance,women
"Mood swings that make me feel like a different person.",hormonal_imbalance,women
"Persistent thirst and frequent urination along with fatigue.",hormonal_imbalance,women
"Developing dark hair on my face and my voice feels slightly deeper.",hormonal_imbalance,women
"Sweating excessively at night even when the room is cold.",hormonal_imbalance,women
"My skin is thinning and I'm bruising more easily than before.",hormonal_imbalance,women
"I feel constantly stressed and my appetite has changed significantly.",hormonal_imbalance,women
"Headaches that seem to follow my hormonal cycle.",hormonal_imbalance,women
"Feeling overwhelmed easily and my periods are getting much lighter.",hormonal_imbalance,women
"Changes in my body composition despite no change in diet.",hormonal_imbalance,women
"Heart feels like it's racing at random times during the day.",hormonal_imbalance,women
"Sleep is disrupted and I feel physically drained every morning.",hormonal_imbalance,women
"I feel so weak and tired even after sleeping for eight hours.",iron_deficiency_anemia,women
"My skin looks very pale and I'm getting out of breath walking upstairs.",iron_deficiency_anemia,women
"I've been craving ice and I feel dizzy when I stand up quickly.",iron_deficiency_anemia,women
"My fingernails are brittle and seem to be curving inwards like spoons.",iron_deficiency_anemia,women
"Heart is pounding fast and I feel short of breath after light exercise.",iron_deficiency_anemia,women
"I've noticed my tongue is sore and my mouth feels dry.",iron_deficiency_anemia,women
"My hands and feet are always freezing even when it's warm.",iron_deficiency_anemia,women
"Feeling very lightheaded and seeing spots when I move too fast.",iron_deficiency_anemia,women
"Extreme exhaustion that makes it hard to get through the work day.",iron_deficiency_anemia,women
"I'm unusually pale and my friends have commented on it.",iron_deficiency_anemia,women
"Strange cravings for things like dirt or paper lately.",iron_deficiency_anemia,women
"My legs feel restless at night and I have a constant headache.",iron_deficiency_anemia,women
"Feeling faint and having trouble concentrating on anything.",iron_deficiency_anemia,women
"My hair is dry and falling out and my skin lacks any color.",iron_deficiency_anemia,women
"Getting winded just from doing basic chores around the house.",iron_deficiency_anemia,women
"I feel a strange buzzing or ringing in my ears lately.",iron_deficiency_anemia,women
"Brittle nails that break as soon as they grow a little bit.",iron_deficiency_anemia,women
"My chest feels tight and I'm panting after walking a short distance.",iron_deficiency_anemia,women
"Chronic fatigue that doesn't improve with rest or caffeine.",iron_deficiency_anemia,women
"Dizziness and a general feeling of being washed out.",iron_deficiency_anemia,women
"Noticing that the inside of my lower eyelids looks very white.",iron_deficiency_anemia,women
"I feel irritable and lack the energy to do my hobbies.",iron_deficiency_anemia,women
"Shortness of breath is becoming a daily occurrence for me.",iron_deficiency_anemia,women
"My pulse feels very rapid even when I am sitting still.",iron_deficiency_anemia,women
"Struggling with a very sore, smooth-looking tongue.",iron_deficiency_anemia,women
"I've gained weight and I'm feeling incredibly sluggish and cold.",thyroid_disorder,women
"My heart is racing and I've lost weight without even trying.",thyroid_disorder,women
"Feeling very jittery and my hands have a slight tremor.",thyroid_disorder,women
"My neck feels swollen and I'm having trouble swallowing.",thyroid_disorder,women
"I'm losing hair and my skin feels very rough and dry.",thyroid_disorder,women
"Everything feels like it's moving in slow motion and I'm depressed.",thyroid_disorder,women
"I'm sweating a lot and I can't stand the heat anymore.",thyroid_disorder,women
"My periods have become very heavy and I'm exhausted.",thyroid_disorder,women
"Feeling anxious and my eyes seem a bit more prominent than usual.",thyroid_disorder,women
"Constipation that won't go away and I'm feeling very bloated.",thyroid_disorder,women
"Muscle weakness in my thighs and arms makes it hard to lift things.",thyroid_disorder,women
"My voice has become hoarse and my face looks puffy.",thyroid_disorder,women
"I feel like I have too much energy and I can't sleep at night.",thyroid_disorder,women
"My pulse is very slow and I feel mentally foggy.",thyroid_disorder,women
"Changes in my menstrual cycle and persistent fatigue.",thyroid_disorder,women
"I'm feeling very sensitive to cold temperatures lately.",thyroid_disorder,women
"My skin is thinning and I'm getting frequent bowel movements.",thyroid_disorder,women
"Feeling a lump in the front of my throat when I swallow.",thyroid_disorder,women
"Joint pain and muscle aches that I can't explain.",thyroid_disorder,women
"My nails are crumbly and my hair is very brittle.",thyroid_disorder,women
"I'm feeling very restless and my mood is all over the place.",thyroid_disorder,women
"Extreme tiredness and a general lack of motivation.",thyroid_disorder,women
"My skin feels itchy and I have a rapid heartbeat.",thyroid_disorder,women
"Weight fluctuations and feeling like my throat is tight.",thyroid_disorder,women
"Mental confusion and feeling cold all the time.",thyroid_disorder,women
"I get so bloated and irritable a week before my period starts.",pms,women
"My breasts are incredibly tender and I'm craving chocolate.",pms,women
"Feeling very tearful and emotional for no reason lately.",pms,women
"I'm having breakouts and bad cramps right before my flow.",pms,women
"Major mood swings and I'm snapping at everyone around me.",pms,women
"Feeling exhausted and having trouble sleeping before my cycle.",pms,women
"My stomach is so upset and I feel very gassy this week.",pms,women
"I have a dull headache and I'm feeling very clumsy today.",pms,women
"Social withdrawal and feeling very anxious as my period nears.",pms,women
"My appetite is through the roof and I'm feeling very heavy.",pms,women
"Lower back pain and general aches in my legs before my period.",pms,women
"I'm retaining so much water that my clothes feel tight.",pms,women
"Crying easily over small things and feeling very sensitive.",pms,women
"The brain fog and fatigue are hitting me hard this week.",pms,women
"Breakouts on my chin and chest right before my period arrives.",pms,women
"I feel a lot of pressure in my pelvis and I'm very moody.",pms,women
"Difficulty concentrating and feeling very overwhelmed today.",pms,women
"Extreme sugar cravings and feeling bloated in my midsection.",pms,women
"My sleep is restless and I'm having vivid dreams this week.",pms,women
"Feeling angry and frustrated without a clear cause.",pms,women
"My breasts feel heavy and sore and I'm very tired.",pms,women
"Dull ache in my abdomen and I'm feeling very lethargic.",pms,women
"Sudden onset of sadness and fatigue before my monthly cycle.",pms,women
"My skin looks dull and I'm getting pre-period breakouts.",pms,women
"Feeling tense and on edge as my period approaches.",pms,women
"My periods are extremely painful and the cramps are unbearable.",endometriosis,women
"I have chronic pelvic pain that gets worse during my cycle.",endometriosis,women
"Painful bowel movements and lower back pain during my period.",endometriosis,women
"It hurts when I have intercourse and I have heavy bleeding.",endometriosis,women
"I'm struggling with infertility and have very painful periods.",endometriosis,women
"The pain in my pelvis lasts all month not just during my period.",endometriosis,women
"I have blood in my stool and severe cramping every month.",endometriosis,women
"Feeling very bloated and having sharp pains in my lower abdomen.",endometriosis,women
"My periods are so heavy I have to change my pad every hour.",endometriosis,women
"Painful urination and pelvic pressure during my menstrual cycle.",endometriosis,women
"The cramping is so bad I often have to miss work or school.",endometriosis,women
"I feel a dragging sensation in my pelvis and deep internal pain.",endometriosis,women
"Nausea and diarrhea that always coincide with my period.",endometriosis,women
"Severe backache and leg pain that radiates during my flow.",endometriosis,women
"I've been diagnosed with cysts and have very intense period pain.",endometriosis,women
"Bleeding between periods and constant pelvic discomfort.",endometriosis,women
"I feel exhausted from the chronic pain I have every month.",endometriosis,women
"Heavy periods with large clots and significant abdominal pain.",endometriosis,women
"The pain doesn't respond well to over-the-counter medication.",endometriosis,women
"Experiencing sharp, stabbing pains in my pelvic region.",endometriosis,women
"Pain during exercise and general pelvic heaviness.",endometriosis,women
"My cycles are getting more painful as I get older.",endometriosis,women
"I have constant discomfort in my lower belly and back.",endometriosis,women
"Severe menstrual cramps that radiate down my thighs.",endometriosis,women
"Painful ovulation followed by even more painful periods.",endometriosis,women
"I have a dull ache on the left side of my lower abdomen.",ovarian_cysts,women
"Feeling a sense of fullness or heaviness in my pelvic area.",ovarian_cysts,women
"I have sharp, sudden pain in my lower stomach that comes and goes.",ovarian_cysts,women
"Bloating and swelling in my lower abdomen that won't subside.",ovarian_cysts,women
"Pain during intercourse and a frequent urge to urinate.",ovarian_cysts,women
"My periods have become irregular and I have pelvic pressure.",ovarian_cysts,women
"I feel a sharp twinge in my side when I move a certain way.",ovarian_cysts,women
"Lower back pain and aching in my thighs lately.",ovarian_cysts,women
"Nausea and breast tenderness similar to pregnancy symptoms.",ovarian_cysts,women
"A feeling of pressure on my bladder making me go often.",ovarian_cysts,women
"Sudden pelvic pain after physical activity or exercise.",ovarian_cysts,women
"I can feel a firm mass in my lower abdominal region.",ovarian_cysts,women
"Dull pelvic pain that radiates to my lower back.",ovarian_cysts,women
"Difficulty emptying my bladder completely and pelvic discomfort.",ovarian_cysts,women
"My stomach looks distended and I feel very full after eating little.",ovarian_cysts,women
"I'm having spotting and sharp pains on one side of my pelvis.",ovarian_cysts,women
"Vague abdominal discomfort that has been lingering for weeks.",ovarian_cysts,women
"Pain that feels like a heavy weight sitting in my pelvis.",ovarian_cysts,women
"I'm experiencing irregular bleeding and localized pelvic pain.",ovarian_cysts,women
"Sharp stabs of pain in the groin area occasionally.",ovarian_cysts,women
"Feeling bloated and having a constant dull ache in my belly.",ovarian_cysts,women
"Pelvic discomfort that gets worse right before my period.",ovarian_cysts,women
"Pressure in my rectum and lower abdominal cramping.",ovarian_cysts,women
"I feel a pulling sensation in my lower abdomen.",ovarian_cysts,women
"Persistent ache in the pelvic floor and lower back.",ovarian_cysts,women
"I have a tight, band-like feeling around my forehead and temples.",tension_headache,general
"My neck and shoulders are stiff and I have a dull head ache.",tension_headache,general
"It feels like my head is being squeezed by a very tight hat.",tension_headache,general
"Persistent dull pain at the back of my head and neck.",tension_headache,general
"I've had a mild headache all day that feels like constant pressure.",tension_headache,general
"My scalp feels tender and my forehead is aching.",tension_headache,general
"Feeling a steady ache on both sides of my head.",tension_headache,general
"The muscles in my neck are very tight and my head hurts.",tension_headache,general
"I have a nagging headache that started this morning at work.",tension_headache,general
"Pressure behind my eyes and a dull ache across my brow.",tension_headache,general
"My head feels heavy and the muscles in my jaw are tight.",tension_headache,general
"A non-throbbing ache that covers my entire head.",tension_headache,general
"I've been stressed and now I have a constant dull headache.",tension_headache,general
"The pain is mild to moderate but it's been there for hours.",tension_headache,general
"I feel like there is a weight pressing down on top of my head.",tension_headache,general
"Stiffness in my upper back accompanied by a headache.",tension_headache,general
"A lingering ache that feels like muscle tension in my head.",tension_headache,general
"Both sides of my head are throbbing slightly but it's mostly pressure.",tension_headache,general
"My temples feel sore and I have a constant dull pain.",tension_headache,general
"I've had this tight feeling in my head for the last three days.",tension_headache,general
"The headache gets worse towards the end of the day.",tension_headache,general
"Feeling a constriction around my skull and neck muscles.",tension_headache,general
"A steady, dull pain that doesn't pulse or throb.",tension_headache,general
"I have a lot of tension in my neck and a headache across my forehead.",tension_headache,general
"My head feels squeezed and I can't seem to relax my shoulders.",tension_headache,general
"I'm seeing flashing lights and have a severe throbbing on one side.",migraine,general
"I feel nauseous and the light is really bothering my eyes.",migraine,general
"Extremely sensitive to loud noises and have a pounding headache.",migraine,general
"I saw zig-zag lines before this intense headache started.",migraine,general
"One side of my head is pulsing so hard I feel sick.",migraine,general
"I need to lie down in a dark, quiet room right now.",migraine,general
"My vision got blurry and then a sharp headache kicked in.",migraine,general
"Feeling dizzy and having a very strong, rhythmic head pain.",migraine,general
"I'm vomiting and my head feels like it's going to explode.",migraine,general
"A throbbing pain that gets much worse if I try to move.",migraine,general
"I have an aura of shimmering lights and a bad headache.",migraine,general
"The pain is concentrated behind my left eye and it's pulsing.",migraine,general
"Certain smells are making my headache and nausea worse.",migraine,general
"I feel a tingling sensation in my arm and my head hurts.",migraine,general
"This headache has lasted for two days and it's very intense.",migraine,general
"I'm experiencing watery eyes and a very strong unilateral headache.",migraine,general
"Light and sound are unbearable during these episodes.",migraine,general
"My head is throbbing and I feel very lightheaded.",migraine,general
"I get these severe headaches that make me feel physically ill.",migraine,general
"The pulsating pain is so bad I can't concentrate on anything.",migraine,general
"I saw a blind spot in my vision before the pain began.",migraine,general
"My head hurts so much that I feel like I'm going to throw up.",migraine,general
"Intense throbbing that is localized to one temple.",migraine,general
"The headache started suddenly and is accompanied by sensitivity to touch.",migraine,general
"I feel weak and have a pounding sensation in my skull.",migraine,general
"I have a high temperature and my whole body is aching.",viral_fever,general
"Feeling very chilly and shivering followed by sweating.",viral_fever,general
"I have a sore throat, a cough, and a fever.",viral_fever,general
"My joints hurt and I have a temperature of 101 degrees.",viral_fever,general
"Feeling very weak and I've lost my appetite today.",viral_fever,general
"I have a runny nose and I'm feeling very hot and feverish.",viral_fever,general
"My head is throbbing and I have a persistent dry cough.",viral_fever,general
"I've been feeling under the weather with a low-grade fever.",viral_fever,general
"My muscles feel sore like I've run a marathon but I have a fever.",viral_fever,general
"I have a burning sensation in my eyes and a high fever.",viral_fever,general
"Feeling very lethargic and my skin feels hot to the touch.",viral_fever,general
"I'm experiencing bouts of sweating and then feeling very cold.",viral_fever,general
"A bad headache combined with a rising body temperature.",viral_fever,general
"I have a scratchy throat and I'm feeling very fatigued.",viral_fever,general
"My stomach is a bit upset and I've developed a fever.",viral_fever,general
"I've been sneezing and my temperature is higher than normal.",viral_fever,general
"Feeling dizzy and weak with a persistent fever.",viral_fever,general
"My throat is red and I have a fever that comes and goes.",viral_fever,general
"I'm coughing up phlegm and I have a moderate fever.",viral_fever,general
"General body malaise and a temperature of 102.",viral_fever,general
"My eyes are watery and I feel very feverish today.",viral_fever,general
"I have a mild fever and I feel very tired all over.",viral_fever,general
"My back and legs are aching and I have a temperature.",viral_fever,general
"Feeling congested and hot with a nagging headache.",viral_fever,general
"I have a fever and I'm feeling very dehydrated.",viral_fever,general
"I have a red, itchy rash on my arm after using a new lotion.",allergic_dermatitis,general
"My skin is breaking out in hives where I touched that plant.",allergic_dermatitis,general
"I have small blisters and redness on my hands.",allergic_dermatitis,general
"The skin around my eyes is swollen and very itchy.",allergic_dermatitis,general
"I developed a rash after wearing a new nickel necklace.",allergic_dermatitis,general
"My skin feels like it's burning and it's very red.",allergic_dermatitis,general
"I have a bumpy, red rash that is spreading on my legs.",allergic_dermatitis,general
"My hands are dry, cracked, and very inflamed after cleaning.",allergic_dermatitis,general
"I'm getting itchy patches wherever my clothes rub my skin.",allergic_dermatitis,general
"My face is red and irritated after using a different face wash.",allergic_dermatitis,general
"I have a localized rash that looks like it's blistering.",allergic_dermatitis,general
"The skin on my wrists is very itchy and looks raw.",allergic_dermatitis,general
"I have a red patch of skin that feels hot and tender.",allergic_dermatitis,general
"Small, fluid-filled bumps have appeared on my fingers.",allergic_dermatitis,general
"My skin is peeling and very red in one specific spot.",allergic_dermatitis,general
"I have an itchy reaction on my skin from a new detergent.",allergic_dermatitis,general
"The area where I applied the cream is now bright red and itchy.",allergic_dermatitis,general
"I'm noticing a lot of redness and scaling on my neck.",allergic_dermatitis,general
"My skin is reacting to something with hives and itching.",allergic_dermatitis,general
"I have a persistent rash that appeared after using a new soap.",allergic_dermatitis,general
"The skin on my feet is red and itchy after wearing new shoes.",allergic_dermatitis,general
"I have a stinging sensation and a red rash on my forearms.",allergic_dermatitis,general
"My skin is very sensitive and breaks out in red patches easily.",allergic_dermatitis,general
"I have a bumpy, itchy rash that won't go away.",allergic_dermatitis,general
"Redness and swelling on my hands after handling chemicals.",allergic_dermatitis,general
"I have very dry, itchy patches of skin in the creases of my elbows.",eczema,general
"The skin behind my knees is red, scaly, and very irritated.",eczema,general
"I have chronic dry skin that often cracks and bleeds.",eczema,general
"My child has a red rash on their cheeks that looks very dry.",eczema,general
"I'm getting thick, leathery patches of skin on my ankles.",eczema,general
"The itching is so intense it keeps me up at night.",eczema,general
"I have small bumps that leak fluid when I scratch them.",eczema,general
"My skin is very sensitive and flares up during the winter.",eczema,general
"I have red, inflamed skin on my hands that is very painful.",eczema,general
"The rash on my neck is scaly and very itchy.",eczema,general
"I've had this recurring dry skin issue since I was a kid.",eczema,general
"My skin looks raw and sensitive after a flare-up.",eczema,general
"I have patches of skin that are darker than the rest and very dry.",eczema,general
"The skin on my eyelids is red and flaky.",eczema,general
"I'm experiencing a lot of skin irritation and dryness on my chest.",eczema,general
"My skin feels very tight and itchy after I take a shower.",eczema,general
"I have rough, sandpaper-like patches on my arms.",eczema,general
"The itching is constant and my skin is very red and warm.",eczema,general
"I have cracks in my skin that are very slow to heal.",eczema,general
"My skin is peeling in large flakes and it's very itchy.",eczema,general
"I have a persistent rash that gets worse with stress.",eczema,general
"The skin on my palms is very dry and has deep lines.",eczema,general
"I have red, itchy spots that seem to be spreading.",eczema,general
"My skin is very reactive to certain fabrics and gets itchy.",eczema,general
"I have a history of asthma and now I have this itchy rash.",eczema,general
"I have an itchy, red ring-shaped rash on my arm.",fungal_skin_infection,general
"The skin between my toes is peeling and very itchy.",fungal_skin_infection,general
"I have white, flaky patches on my chest and back.",fungal_skin_infection,general
"My groin area is very red, itchy, and irritated.",fungal_skin_infection,general
"I noticed a circular rash with a clear center on my leg.",fungal_skin_infection,general
"The skin under my breasts is red and feels damp and itchy.",fungal_skin_infection,general
"I have thickened, yellow nails that are starting to crumble.",fungal_skin_infection,general
"My scalp is very itchy and I have patches of hair loss.",fungal_skin_infection,general
"I have a red, scaly rash in the folds of my skin.",fungal_skin_infection,general
"The rash on my feet is burning and the skin is cracking.",fungal_skin_infection,general
"I have small, pale spots on my skin that don't tan.",fungal_skin_infection,general
"My skin is macerated and white between my fingers.",fungal_skin_infection,general
"I have a very itchy rash that is shaped like a circle.",fungal_skin_infection,general
"The skin in my armpits is red and has a strange odor.",fungal_skin_infection,general
"I have a fungal infection on my skin that is spreading fast.",fungal_skin_infection,general
"My skin feels very itchy and there are raised red edges on the rash.",fungal_skin_infection,general
"I have a persistent itch in my private areas that is very red.",fungal_skin_infection,general
"The soles of my feet are very dry and scaling in a pattern.",fungal_skin_infection,general
"I have a rash that looks like small red bumps in a cluster.",fungal_skin_infection,general
"My skin is irritated and has a silvery scale on top.",fungal_skin_infection,general
"I've been using an antifungal cream but the rash is still there.",fungal_skin_infection,general
"The circular rash is getting bigger and more itchy.",fungal_skin_infection,general
"I have a burning sensation and redness in my skin folds.",fungal_skin_infection,general
"My nails are discolored and lifting away from the bed.",fungal_skin_infection,general
"I have a red, itchy patch on my neck that feels rough.",fungal_skin_infection,general
"My bones ache and I feel very tired all the time.",vitamin_d_deficiency,general
"I've been feeling down and my muscles feel very weak.",vitamin_d_deficiency,general
"I'm getting sick very often and I have lower back pain.",vitamin_d_deficiency,general
"My hair is thinning and I feel a general lack of energy.",vitamin_d_deficiency,general
"I have persistent muscle pain and my joints feel stiff.",vitamin_d_deficiency,general
"I'm experiencing a lot of fatigue despite getting enough sleep.",vitamin_d_deficiency,general
"My wounds seem to be taking a long time to heal lately.",vitamin_d_deficiency,general
"I feel very sluggish and my mood is consistently low.",vitamin_d_deficiency,general
"I have a dull ache in my ribs and hips.",vitamin_d_deficiency,general
"My legs feel heavy and I have trouble climbing stairs.",vitamin_d_deficiency,general
"I'm noticing more hair in my brush and I feel exhausted.",vitamin_d_deficiency,general
"I have frequent backaches that don't have a clear cause.",vitamin_d_deficiency,general
"Feeling very blue and my body feels physically drained.",vitamin_d_deficiency,general
"I'm getting more colds and infections than I used to.",vitamin_d_deficiency,general
"My bones feel fragile and I have a lot of muscle twitches.",vitamin_d_deficiency,general
"I feel a lack of strength in my hands and arms.",vitamin_d_deficiency,general
"General body aches and a feeling of being worn out.",vitamin_d_deficiency,general
