symptoms,condition,domain
"I'm struggling with low mood and constant tiredness.",vitamin_d_deficiency,general
"My joints are sore and I have a lot of muscle stiffness.",vitamin_d_deficiency,general
"I feel very weak and I'm having trouble concentrating.",vitamin_d_deficiency,general
"I have a lot of fatigue and my hair is falling out.",vitamin_d_deficiency,general
"My immunity feels low and I have persistent back pain.",vitamin_d_deficiency,general
"I have a sharp burning in my throat after I eat anything heavy.",acid_reflux,general
"I'm tasting bile in my mouth and my chest feels very tight.",acid_reflux,general
"I have a persistent dry cough that gets worse when I lie down.",acid_reflux,general
"My stomach acid feels like it's rising into my esophagus.",acid_reflux,general
"I'm experiencing painful heartburn right behind my breastbone.",acid_reflux,general
"I have a sour taste in my mouth and I'm burping constantly.",acid_reflux,general
"I feel like there is food stuck in my throat after I eat.",acid_reflux,general
"My voice is very hoarse and I have a constant sore throat.",acid_reflux,general
"I'm feeling nauseated and have a burning sensation in my upper belly.",acid_reflux,general
"I have chest pain that makes me think I'm having a heart problem.",acid_reflux,general
"I'm waking up at night choking on stomach acid.",acid_reflux,general
"I have a lot of indigestion and my chest feels very warm.",acid_reflux,general
"I'm burping up small amounts of food and acid regularly.",acid_reflux,general
"My throat feels irritated and I have a lot of gas in my stomach.",acid_reflux,general
"I have a burning feeling in my chest after drinking coffee.",acid_reflux,general
"My mouth is very dry and I'm feeling incredibly lightheaded.",dehydration,general
"I'm thirsty all the time and my urine is a dark amber color.",dehydration,general
"I have a pounding headache and I feel very weak and dizzy.",dehydration,general
"My skin doesn't go back down when I pinch it on my hand.",dehydration,general
"I'm not urinating as much as usual and I feel very sluggish.",dehydration,general
"I have a fast heart rate and my tongue feels very dry and sticky.",dehydration,general
"I'm feeling very confused and I have a dry, scratchy throat.",dehydration,general
"My eyes feel very dry and sunken and I have no energy.",dehydration,general
"I'm experiencing muscle cramps in my legs and extreme thirst.",dehydration,general
"I feel very hot but I'm not sweating even though I'm active.",dehydration,general
"My blood pressure is low and I feel faint when I stand up.",dehydration,general
"I have a persistent thirst that no amount of water seems to fix.",dehydration,general
"I'm feeling very irritable and have a dull, throbbing headache.",dehydration,general
"My urine output has dropped to almost nothing today.",dehydration,general
"I feel very drained and my mouth feels like it's full of cotton.",dehydration,general
"I'm so tired I can't even hold a conversation properly.",sleep_deprivation,general
"My head is fuzzy and I'm making a lot of mistakes at work.",sleep_deprivation,general
"I've been awake for over 24 hours and I feel very shaky.",sleep_deprivation,general
"My eyes are stinging and I have dark circles that won't go away.",sleep_deprivation,general
"I'm feeling very grumpy and everything is annoying me today.",sleep_deprivation,general
"I keep nodding off for a few seconds without realizing it.",sleep_deprivation,general
"My memory is shot and I can't remember what I did an hour ago.",sleep_deprivation,general
"I have a constant dull headache from not sleeping enough.",sleep_deprivation,general
"I'm feeling very uncoordinated and I keep tripping over things.",sleep_deprivation,general
"My brain feels like it's in a fog and I'm yawning constantly.",sleep_deprivation,general
"I'm craving junk food and I feel physically exhausted.",sleep_deprivation,general
"I've had very poor sleep for a week and I feel very low.",sleep_deprivation,general
"I'm struggling to stay awake while driving or sitting still.",sleep_deprivation,general
"My reaction time is very slow and I feel mentally drained.",sleep_deprivation,general
"I'm feeling very overwhelmed and my body feels very heavy.",sleep_deprivation,general
"My heart is thumping and I feel a tight knot in my chest.",anxiety,general
"I'm constantly worrying about things that might go wrong.",anxiety,general
"I feel very restless, like I need to keep moving all the time.",anxiety,general
"My hands are trembling and I'm sweating for no reason.",anxiety,general
"I have a persistent sense of impending doom and panic.",anxiety,general
"I'm breathing very shallowly and I feel like I can't get enough air.",anxiety,general
"My mind is racing with 'what if' scenarios all day long.",anxiety,general
"I feel very jumpy and my muscles are constantly tensed up.",anxiety,general
"I'm having trouble focusing because I'm so preoccupied with worry.",anxiety,general
"I have an upset stomach and a feeling of dread in my gut.",anxiety,general
"I'm feeling very on edge and I'm snapping at people.",anxiety,general
"I've been having panic attacks where my heart races and I sweat.",anxiety,general
"I'm avoiding certain places because they make me feel nervous.",anxiety,general
"I have cold, clammy hands and I'm feeling very uneasy.",anxiety,general
"I'm struggling to sleep because I'm worrying about the next day.",anxiety,general
"Noticing dark, velvety patches of skin in my armpits and my periods are non-existent.",pcos,women
"I've been dealing with cystic acne along my jaw and my hair is thinning at the temples.",pcos,women
"My cycle is over 50 days long and I'm seeing significant hair growth on my chin.",pcos,women
"Weight is piling on around my abdomen despite no change in my diet or exercise.",pcos,women
"I only get a period once every few months and they are very heavy when they happen.",pcos,women
"Dealing with male-pattern baldness and constant breakouts on my back and chest.",pcos,women
"My ultrasound showed many small follicles on my ovaries and my cycles are erratic.",pcos,women
"I feel like my hormones are crashed; no periods for months and extra facial hair.",pcos,women
"Skin tags are appearing on my neck and my menstrual cycle has completely stalled.",pcos,women
"Periods are incredibly infrequent and I'm struggling with adult onset acne.",pcos,women
"I'm seeing dark hair growing on my breasts and my cycles are very far apart.",pcos,women
"My period hasn't come in 90 days and I've noticed my hair is getting very thin.",pcos,women
"Oily skin and hair that needs washing every day along with missed periods.",pcos,women
"Cycles are extremely long and I have noticed hair growth on my inner thighs.",pcos,women
"Feeling frustrated with weight gain and the sudden appearance of chin hairs.",pcos,women
"My period start dates are a total mystery every month lately.",menstrual_irregularity,women
"I'm bleeding for only one day then it stops and starts again a week later.",menstrual_irregularity,women
"Cycles used to be like clockwork but now they are varying by 15 days.",menstrual_irregularity,women
"Experiencing breakthrough bleeding while I'm supposed to be mid-cycle.",menstrual_irregularity,women
"My periods are occurring every 20 days which feels way too frequent.",menstrual_irregularity,women
"The time between my cycles has stretched out to nearly two months now.",menstrual_irregularity,women
"I had a very light period followed by a massive one just two weeks later.",menstrual_irregularity,women
"Tracking my apps is useless because my period is never on time anymore.",menstrual_irregularity,women
"Dealing with spotting for several days before my actual flow begins.",menstrual_irregularity,women
"My menstruation has become completely erratic over the last four months.",menstrual_irregularity,women
"The duration of my period changes every time; sometimes it's two days, sometimes ten.",menstrual_irregularity,women
"Frequent cycles that occur twice in a single calendar month.",menstrual_irregularity,women
"I'm missing every other period and the ones I do have are very light.",menstrual_irregularity,women
"Sudden changes in my menstrual flow and timing for no apparent reason.",menstrual_irregularity,women
"My cycle length has shifted from 28 days to 45 days over the last year.",menstrual_irregularity,women
"I'm having night sweats so bad I have to change my sheets, plus I'm moody.",hormonal_imbalance,women
"My skin is suddenly paper-dry and I'm feeling very anxious for no reason.",hormonal_imbalance,women
"Feeling a total lack of drive and my energy is at an all-time low.",hormonal_imbalance,women
"I'm getting hot flashes throughout the day that make my face turn bright red.",hormonal_imbalance,women
"My weight is fluctuating wildly and I feel bloated all the time.",hormonal_imbalance,women
"Brain fog is making it impossible to work and I feel very irritable.",hormonal_imbalance,women
"I'm losing hair in clumps and my periods have become very light.",hormonal_imbalance,women
"Sleep is impossible because I wake up feeling overheated and restless.",hormonal_imbalance,women
"My breasts feel very lumpy and painful for most of the month now.",hormonal_imbalance,women
"I'm experiencing heart palpitations and sudden mood crashes.",hormonal_imbalance,women
"Feeling like my internal thermostat is broken; I'm either freezing or boiling.",hormonal_imbalance,women
"My body feels puffy and I'm snapping at my family over nothing.",hormonal_imbalance,women
"Unexplained fatigue that doesn't go away even with ten hours of sleep.",hormonal_imbalance,women
"My skin is thinning and I've noticed new facial hair appearing.",hormonal_imbalance,women
"I feel very disconnected and my memory has been terrible lately.",hormonal_imbalance,women
"I'm craving ice constantly and I feel winded just talking on the phone.",iron_deficiency_anemia,women
"My lower eyelids are very pale and my nails are breaking constantly.",iron_deficiency_anemia,women
"I feel like I'm going to faint every time I stand up from the sofa.",iron_deficiency_anemia,women
"My tongue looks swollen and pale and I have no appetite at all.",iron_deficiency_anemia,women
"I'm experiencing restless legs at night that keep me from sleeping.",iron_deficiency_anemia,women
"My heartbeat feels irregular and I'm out of breath after walking the dog.",iron_deficiency_anemia,women
"Feeling very cold in my extremities even when I'm wearing wool socks.",iron_deficiency_anemia,women
"My skin has a yellowish-pale tint and I feel incredibly weak.",iron_deficiency_anemia,women
"Brittle, spoon-shaped nails and I'm losing more hair than usual.",iron_deficiency_anemia,women
"I've been feeling very dizzy and my ears are ringing constantly.",iron_deficiency_anemia,women
"Shortness of breath is making it hard for me to exercise lately.",iron_deficiency_anemia,women
"I feel physically exhausted and my concentration is completely gone.",iron_deficiency_anemia,women
"My pulse is racing and I feel lightheaded most of the afternoon.",iron_deficiency_anemia,women
"I'm unusually tired and my friends say I look like a ghost.",iron_deficiency_anemia,women
"Feeling a strange desire to chew on non-food items like paper or dirt.",iron_deficiency_anemia,women
"My neck looks enlarged and I'm suddenly gaining weight very fast.",thyroid_disorder,women
"I'm feeling very shaky and my heart is beating out of my chest.",thyroid_disorder,women
"My skin is incredibly itchy and dry and my hair is falling out.",thyroid_disorder,women
"I feel constantly overheated and I've lost ten pounds in two weeks.",thyroid_disorder,women
"My voice sounds very raspy and I have a constant feeling of a lump in my throat.",thyroid_disorder,women
"I'm feeling very depressed and sluggish and my periods are very heavy.",thyroid_disorder,women
"My eyes feel gritty and look more prominent than they used to.",thyroid_disorder,women
"I'm having bowel movements several times a day and I feel very anxious.",thyroid_disorder,women
"My muscles feel weak, especially in my upper arms and shoulders.",thyroid_disorder,women
"I'm feeling very cold all the time and my face looks puffy in the morning.",thyroid_disorder,women
"My heart rate is very slow and I'm struggling with severe constipation.",thyroid_disorder,women
"I feel jittery like I've had way too much coffee even when I haven't.",thyroid_disorder,women
"My fingernails are soft and peeling and I'm feeling very tired.",thyroid_disorder,women
"I'm having trouble swallowing food and my neck feels very tight.",thyroid_disorder,women
"My period has suddenly stopped and I'm feeling very restless and hot.",thyroid_disorder,women
"I'm so bloated I can't button my pants and I'm crying over everything.",pms,women
"My skin is breaking out in painful bumps and I'm craving salty snacks.",pms,women
"I feel very clumsy, like I'm dropping things more often this week.",pms,women
"My lower back is throbbing and I have a dull ache in my pelvic area.",pms,women
"I feel so angry I could scream and my breasts are very sensitive.",pms,women
"Total lack of energy and I'm sleeping way more than usual this week.",pms,women
"I'm experiencing sharp headaches and I feel very gassy and full.",pms,women
"My mood is swinging from happy to devastated in a matter of minutes.",pms,women
"I'm retaining so much water that my rings won't fit on my fingers.",pms,women
"I feel very isolated and I just want to stay in bed all day.",pms,women
"My digestion is all over the place with constipation then diarrhea.",pms,women
"I'm having a hard time focusing on my work and I feel very foggy.",pms,women
"Extreme breast tenderness and a general feeling of being unwell.",pms,women
"I'm craving nothing but sweets and I'm feeling very irritable.",pms,women
"My period is coming in a few days and I'm already feeling the cramps.",pms,women
"I have deep pelvic pain that makes it hard to stand for long periods.",endometriosis,women
"My periods are so painful that heating pads and pills don't help much.",endometriosis,women
"I'm having sharp pains in my abdomen during ovulation and menstruation.",endometriosis,women
"Painful urination and a constant heavy feeling in my lower belly.",endometriosis,women
"I have a lot of pain during and after sexual activity.",endometriosis,women
"My lower back and legs ache intensely during my monthly cycle.",endometriosis,women
"I'm seeing blood in my urine during my period and have bad cramps.",endometriosis,women
"I feel a lot of internal pressure and sharp stabs in my pelvis.",endometriosis,women
"My flow is extremely heavy with large clots and agonizing pain.",endometriosis,women
"I'm struggling with digestive issues that get much worse on my period.",endometriosis,women
"The pelvic pain is becoming chronic and lasts for weeks at a time.",endometriosis,women
"I have severe cramping that radiates down to my knees.",endometriosis,women
"Feeling very fatigued from dealing with constant pelvic discomfort.",endometriosis,women
"I'm having a lot of bloating and sharp stabs in my lower right side.",endometriosis,women
"The pain in my abdomen is dull most of the time but becomes sharp suddenly.",endometriosis,women
"I have a sharp, localized pain on one side of my pelvis that won't go away.",ovarian_cysts,women
"Feeling very full and bloated in my lower stomach area lately.",ovarian_cysts,women
"I'm getting a sudden, sharp twinge in my groin when I twist my body.",ovarian_cysts,women
"There's a constant pressure on my bladder making me run to the bathroom.",ovarian_cysts,women
"I have a dull, heavy ache in my pelvis that feels like a weight.",ovarian_cysts,women
"My stomach looks swollen on one side and it's tender to the touch.",ovarian_cysts,women
"I'm experiencing irregular spotting and sharp pelvic twinges.",ovarian_cysts,women
"A lingering ache in my lower back that seems connected to my pelvis.",ovarian_cysts,women
"I feel nauseated and have a dull pain in my lower left abdomen.",ovarian_cysts,women
"Pain during bowel movements and a feeling of pelvic fullness.",ovarian_cysts,women
"I'm noticing a sharp pain in my side during physical activity.",ovarian_cysts,women
"The pressure in my pelvis is making it uncomfortable to sit down.",ovarian_cysts,women
"I have a sense of heaviness in my abdomen that is very annoying.",ovarian_cysts,women
"My lower stomach is very tender and I feel bloated all the time.",ovarian_cysts,women
"I'm having sharp, intermittent pains in my pelvic region.",ovarian_cysts,women
"I have a constant dull pressure in my pelvis and I feel very full.",ovarian_cysts,women
"The pain feels like a tight rubber band is wrapped around my head.",tension_headache,general
"My neck is very stiff and the pain is spreading to the base of my skull.",tension_headache,general
"I've had a steady, non-pulsing headache across my brow all day.",tension_headache,general
"My temples feel very tender and I have a dull ache in my head.",tension_headache,general
"It feels like someone is pressing down on the top of my head.",tension_headache,general
"The muscles in my shoulders are knotted and my head is aching.",tension_headache,general
"I'm experiencing a dull, distracting headache that won't quit.",tension_headache,general
"Both sides of my head are aching with a constant, mild pressure.",tension_headache,general
"My head feels heavy and the pain is concentrated in my forehead.",tension_headache,general
"I have a lingering headache that feels like a lot of tension.",tension_headache,general
"The pain is mild but it makes it very hard to focus on my screen.",tension_headache,general
"I'm feeling a tight squeeze around my forehead and back of my neck.",tension_headache,general
"My scalp is sensitive to the touch and my head is dullly aching.",tension_headache,general
"The headache started this morning and has been a steady pressure since.",tension_headache,general
"I feel a lot of tightness in my jaw and a headache in my temples.",tension_headache,general
"I'm seeing spots and one side of my head is throbbing violently.",migraine,general
"Light is physically painful to look at and I feel very sick.",migraine,general
"My head is pounding in sync with my pulse and I can't stand noise.",migraine,general
"I have a visual aura of zigzagging lines and a severe headache.",migraine,general
"I'm vomiting and the left side of my head is in absolute agony.",migraine,general
"The throbbing in my temple is so bad I have to stay in the dark.",migraine,general
"I feel very dizzy and have a sharp, stabbing pain behind my eye.",migraine,general
"A rhythmic, intense pain on one side of my head is making me nauseous.",migraine,general
"I'm experiencing a shimmering blind spot followed by a massive headache.",migraine,general
"The pain is so intense that any movement makes me feel like throwing up.",migraine,general
"I have a unilateral headache that feels like a constant pounding.",migraine,general
"My skin feels sensitive and the light from my phone is unbearable.",migraine,general
"I'm seeing flashing lights and my head is throbbing on the right side.",migraine,general
"The headache is accompanied by a very strong sensitivity to smells.",migraine,general
"I feel lightheaded and my head is pulsing with severe pain.",migraine,general
"I'm shivering under three blankets but my skin is burning hot.",viral_fever,general
"My whole body feels like it's been hit by a truck and I have a fever.",viral_fever,general
"I have a dry cough, a very sore throat, and a high temperature.",viral_fever,general
"My joints and muscles are aching and I feel incredibly weak.",viral_fever,general
"I've lost my sense of taste and I'm running a fever of 102.",viral_fever,general
"I'm sweating through my clothes and I have a pounding headache.",viral_fever,general
"Feeling very congested and my body temperature is elevated.",viral_fever,general
"I have no energy to even get out of bed and I feel feverish.",viral_fever,general
"My eyes are burning and I have a constant low-grade fever.",viral_fever,general
"I'm experiencing a lot of nausea and my body is very warm.",viral_fever,general
"I have a scratchy throat and my temperature is rising steadily.",viral_fever,general
"Feeling very faint and my skin is hot and dry to the touch.",viral_fever,general
"My lymph nodes are swollen and I've developed a fever.",viral_fever,general
"I'm coughing up yellow phlegm and feeling very hot.",viral_fever,general
"General malaise and a temperature that won't go down with meds.",viral_fever,general
"My skin is bright red and itchy after I touched a new detergent.",allergic_dermatitis,general
"I have small, itchy blisters on my hands that are very painful.",allergic_dermatitis,general
"My face is swollen and red after using a new cosmetic product.",allergic_dermatitis,general
"I have a bumpy rash that appeared right where my watch sits.",allergic_dermatitis,general
"The skin on my neck is burning and looks very irritated.",allergic_dermatitis,general
"I'm getting hives all over my legs from walking through tall grass.",allergic_dermatitis,general
"My hands are cracked and red after handling cleaning supplies.",allergic_dermatitis,general
"I have a localized, itchy rash that looks like it's spreading.",allergic_dermatitis,general
"The area where the adhesive bandage was is now red and bumpy.",allergic_dermatitis,general
"My skin is peeling and itchy after using a new body wash.",allergic_dermatitis,general
"I have a stinging, red rash on my arms from a new perfume.",allergic_dermatitis,general
"My skin is reacting with redness and small fluid-filled bumps.",allergic_dermatitis,general
"I'm seeing a lot of inflammation and itching on my wrists.",allergic_dermatitis,general
"The skin around my lips is red and scaly from a new lip balm.",allergic_dermatitis,general
"I have a very itchy, red patch of skin that feels very warm.",allergic_dermatitis,general
"I have thick, scaly patches of skin that itch uncontrollably.",eczema,general
"My skin is so dry it's cracking and bleeding on my knuckles.",eczema,general
"I have a red, weepy rash in the bends of my arms.",eczema,general
"The skin on my legs is very rough and has a silvery scale.",eczema,general
"I'm experiencing an intense flare-up of itchy skin on my neck.",eczema,general
"My hands are covered in dry, red patches that sting.",eczema,general
"I have chronic skin irritation that gets worse when I'm stressed.",eczema,general
"The skin behind my ears is flaky and very red.",eczema,general
"I'm getting small, itchy bumps on my fingers that clear fluid.",eczema,general
"My skin feels raw and tender after scratching the itchy spots.",eczema,general
"I have very sensitive skin that turns red and itchy easily.",eczema,general
"The rash on my ankles is very dark and the skin feels thick.",eczema,general
"I'm struggling with persistent dry skin that won't stay moisturized.",eczema,general
"My skin is peeling in patches and it's incredibly itchy.",eczema,general
"I have a red, inflamed rash on my chest that is very scaly.",eczema,general
"I have a red, itchy ring on my skin that is getting bigger.",fungal_skin_infection,general
"The skin between my toes is white, soggy, and very itchy.",fungal_skin_infection,general
"I have round, scaly patches on my arms that are very red.",fungal_skin_infection,general
"My groin is very itchy and has a red, raised border.",fungal_skin_infection,general
"I'm noticing white, splotchy patches on my back that don't tan.",fungal_skin_infection,general
"The skin under my armpits is red, raw, and smells musty.",fungal_skin_infection,general
"I have a fungal rash that looks like a cluster of small circles.",fungal_skin_infection,general
"My toenails are thick, yellowed, and crumbling at the edges.",fungal_skin_infection,general
"I have an itchy, red rash in the folds of my stomach.",fungal_skin_infection,general
"The skin on the bottom of my feet is scaling and very dry.",fungal_skin_infection,general
"I have a burning, itchy sensation in my groin area.",fungal_skin_infection,general
"My scalp has itchy, flaky patches and some hair loss.",fungal_skin_infection,general
"I'm seeing a red, spreading rash with a very clear edge.",fungal_skin_infection,general
"The skin between my fingers is red, itchy, and peeling.",fungal_skin_infection,general
"I have a persistent fungal infection that is making my skin raw.",fungal_skin_infection,general
"I feel very weak and my bones ache whenever I move.",vitamin_d_deficiency,general
"I'm losing a lot of hair and my mood has been very low lately.",vitamin_d_deficiency,general
"My muscles feel sore and heavy, like I have no strength.",vitamin_d_deficiency,general
"I'm getting sick with colds every few weeks and I'm tired.",vitamin_d_deficiency,general
"I have persistent lower back pain that won't go away.",vitamin_d_deficiency,general
"I feel very sluggish and I'm having trouble thinking clearly.",vitamin_d_deficiency,general
"My joints feel stiff and painful, especially in the morning.",vitamin_d_deficiency,general
"I'm experiencing a lot of fatigue despite resting all weekend.",vitamin_d_deficiency,general
"My bones feel tender to the touch, especially in my legs.",vitamin_d_deficiency,general
"I'm feeling very depressed and my body feels physically drained.",vitamin_d_deficiency,general
"I have a lot of muscle twitches and a general feeling of weakness.",vitamin_d_deficiency,general
"My wounds are very slow to heal and I feel constantly run down.",vitamin_d_deficiency,general
"I'm noticing that my teeth and jaw feel a bit achy lately.",vitamin_d_deficiency,general
"I have deep bone pain in my hips and I feel very exhausted.",vitamin_d_deficiency,general
"I'm struggling with low immunity and constant muscle aches.",vitamin_d_deficiency,general
"I have a sharp burning in my throat after I eat anything heavy.",acid_reflux,general
"I'm tasting bile in my mouth and my chest feels very tight.",acid_reflux,general
"I have a persistent dry cough that gets worse when I lie down.",acid_reflux,general
"My stomach acid feels like it's rising into my esophagus.",acid_reflux,general
"I'm experiencing painful heartburn right behind my breastbone.",acid_reflux,general
"I have a sour taste in my mouth and I'm burping constantly.",acid_reflux,general
"I feel like there is food stuck in my throat after I eat.",acid_reflux,general
"My voice is very hoarse and I have a constant sore throat.",acid_reflux,general
"I'm feeling nauseated and have a burning sensation in my upper belly.",acid_reflux,general
"I have chest pain that makes me think I'm having a heart problem.",acid_reflux,general
"I'm waking up at night choking on stomach acid.",acid_reflux,general
"I have a lot of indigestion and my chest feels very warm.",acid_reflux,general
"I'm burping up small amounts of food and acid regularly.",acid_reflux,general
"My throat feels irritated and I have a lot of gas in my stomach.",acid_reflux,general
"I have a burning feeling in my chest after drinking coffee.",acid_reflux,general
"My mouth is very dry and I'm feeling incredibly lightheaded.",dehydration,general
"I'm thirsty all the time and my urine is a dark amber color.",dehydration,general
"I have a pounding headache and I feel very weak and dizzy.",dehydration,general
"My skin doesn't go back down when I pinch it on my hand.",dehydration,general
"I'm not urinating as much as usual and I feel very sluggish.",dehydration,general
"I have a fast heart rate and my tongue feels very dry and sticky.",dehydration,general
"I'm feeling very confused and I have a dry, scratchy throat.",dehydration,general
"My eyes feel very dry and sunken and I have no energy.",dehydration,general
"I'm experiencing muscle cramps in my legs and extreme thirst.",dehydration,general
"I feel very hot but I'm not sweating even though I'm active.",dehydration,general
"My blood pressure is low and I feel faint when I stand up.",dehydration,general
"I have a persistent thirst that no amount of water seems to fix.",dehydration,general
"I'm feeling very irritable and have a dull, throbbing headache.",dehydration,general
"My urine output has dropped to almost nothing today.",dehydration,general
"I feel very drained and my mouth feels like it's full of cotton.",dehydration,general
"I'm so tired I can't even hold a conversation properly.",sleep_deprivation,general
"My head is fuzzy and I'm making a lot of mistakes at work.",sleep_deprivation,general
"I've been awake for over 24 hours and I feel very shaky.",sleep_deprivation,general
"My eyes are stinging and I have dark circles that won't go away.",sleep_deprivation,general
"I'm feeling very grumpy and everything is annoying me today.",sleep_deprivation,general
"I keep nodding off for a few seconds without realizing it.",sleep_deprivation,general
"My memory is shot and I can't remember what I did an hour ago.",sleep_deprivation,general
"I have a constant dull headache from not sleeping enough.",sleep_deprivation,general
"I'm feeling very uncoordinated and I keep tripping over things.",sleep_deprivation,general
"My brain feels like it's in a fog and I'm yawning constantly.",sleep_deprivation,general
"I'm craving junk food and I feel physically exhausted.",sleep_deprivation,general
"I've had very poor sleep for a week and I feel very low.",sleep_deprivation,general
"I'm struggling to stay awake while driving or sitting still.",sleep_deprivation,general
"My reaction time is very slow and I feel mentally drained.",sleep_deprivation,general
"I'm feeling very overwhelmed and my body feels very heavy.",sleep_deprivation,general
"My heart is thumping and I feel a tight knot in my chest.",anxiety,general
"I'm constantly worrying about things that might go wrong.",anxiety,general
"I feel very restless, like I need to keep moving all the time.",anxiety,general
"My hands are trembling and I'm sweating for no reason.",anxiety,general
"I have a persistent sense of impending doom and panic.",anxiety,general
"I'm breathing very shallowly and I feel like I can't get enough air.",anxiety,general
"My mind is racing with 'what if' scenarios all day long.",anxiety,general
"I feel very jumpy and my muscles are constantly tensed up.",anxiety,general
"I'm having trouble focusing because I'm so preoccupied with worry.",anxiety,general
"I have an upset stomach and a feeling of dread in my gut.",anxiety,general
"I'm feeling very on edge and I'm snapping at people.",anxiety,general
"I've been having panic attacks where my heart races and I sweat.",anxiety,general
"I'm avoiding certain places because they make me feel nervous.",anxiety,general
"I have cold, clammy hands and I'm feeling very uneasy.",anxiety,general
"I'm struggling to sleep because I'm worrying about the next day.",anxiety,general